City,Latitude,Longitude
München,48.1371079,11.5753822
Wolfratshausen,47.9104632,11.4266377
Garmisch-Partenkirchen,47.4923741,11.0962815
Starnberg,47.9986851,11.3410791
Herrsching,47.9984622,11.1703947
Nürnberg,49.453872,11.077298
Schwabach,49.3290521,11.0207677
Ansbach,49.28887445,10.55976933809508
Treuchtlingen,48.9554435,10.9089888
Neustadt an der Aisch,49.5800045,10.6087584
Gunzenhausen,49.1147095,10.7545933
Fürth,49.488571050000004,10.95872031326412
Bayreuth,49.9427202,11.5763079
Kulmbach,50.1008448,11.4479149
Bamberg,49.8916044,10.8868478
Lichtenfels,50.14568,11.06382
Coburg,50.2582226,10.964561
Hof,50.3219015,11.9178807
Bad Staffelstein,50.1028339,10.999159
Münchberg,50.1911369,11.7913908
Würzburg,49.7933723,9.9309779
Schweinfurt,50.051855200000006,10.222092114223383
Aschaffenburg,49.9706701,9.13848573082478
Kitzingen,49.7380667,10.1601218
Miltenberg,49.7017584,9.2559718
Ochsenfurt,49.6643552,10.0647551
Werneck,49.981604,10.1001527
Passau,48.5748229,13.4609744
Landshut,48.536217,12.1516551
Straubing,48.8839157,12.595577296431395
Deggendorf,48.7814115,13.0006423
Dingolfing,48.6300801,12.4977434
Ergoldsbach,48.6911498,12.2017569
Reisbach,48.5686163,12.6298894
Regen,49.1844212,12.4251773
Geiselhöring,48.8258853,12.3926046
Massing,48.3973319,12.6048293
Metten,48.8548546,12.9155203
Regensburg,49.0195333,12.0974869
Neumarkt in der Oberpfalz,49.279624,11.4594662
Auerbach in der Oberpfalz,49.6923981,11.6325698
Nittenau,49.1980429,12.2718828
Amberg,49.454366199999996,11.847402115482414
Nittendorf,49.0250012,11.9593734
Regenstauf,49.1239753,12.1278232
Parsberg,49.1598787,11.7187658
Kaufbeuren,47.8803788,10.622246
Sonthofen,47.5135363,10.281931
Kempten (Allgäu),47.7267063,10.3168835
Isny im Allgäu,47.6925666,10.039203
Wangen im Allgäu,47.6856552,9.8342247
Marktoberdorf,47.7780871,10.6188796
Oberstaufen,47.5245516,10.061866580680892
Augsburg,48.3690341,10.8979522
Günzburg,48.4555244,10.2766213
Friedberg,48.3551962,10.9786498
Memmingen,47.9863099,10.1808016
Aichach,48.4591478,11.1309953
Lindau,47.550753,9.6926624
Neu-Ulm,48.3953489,10.0005211
Lauingen,48.5710836,10.4305438
