model	prompt_words	prompt_tok	gen_tok	prefill_tps	gen_tps	load_s	total_s
qwen3.6:35b-a3b-q4_K_M-agentic	0	25	108	92.3	123.30	11.6	12.7
qwen3.6:35b-a3b-q4_K_M-agentic	2000	3180	95	3017.4	131.37	0.5	2.4
qwen3.6:35b-a3b-q4_K_M-agentic	20000	35102	78	3987.9	112.32	0.5	10.4
muse-glimmer:30b-ctx128k-agentic	0	69	256	316.7	28.91	18.4	27.5
muse-glimmer:30b-ctx128k-agentic	2000	2624	221	1167.8	28.54	0.5	10.6
muse-glimmer:30b-ctx128k-agentic	20000	27180	256	1962.5	27.91	0.5	24.0
nemotron-3.5-lightning:30b-ctx256k-agentic	0	29	208	3.2	48.45	18.2	31.5
nemotron-3.5-lightning:30b-ctx256k-agentic	2000	3457	96	2619.1	43.91	0.3	3.9
nemotron-3.5-lightning:30b-ctx256k-agentic	20000	37836	143	3049.6	44.93	0.3	16.1
tune-mtp-d0	0	25	126	88.8	124.52	13.1	14.4
tune-mtp-d0	2000	3180	143	2841.3	129.22	0.5	2.9
tune-mtp-d0	20000	35102	111	3383.8	111.79	0.5	12.2
tune-mtp-d2	0	25	105	79.1	105.33	16.1	17.4
tune-mtp-d2	2000	3180	104	1816.4	105.09	0.5	3.4
tune-mtp-d2	20000	35102	97	1958.1	105.85	0.5	19.7
tune-mtp-d4	0	25	100	70.1	92.98	16.3	17.7
tune-mtp-d4	2000	3180	96	1864.2	100.61	0.5	3.3
tune-mtp-d4	20000	35102	91	1949.5	81.35	0.5	20.0
tune-mtp-d8	0	25	104	79.9	72.23	15.5	17.2
tune-mtp-d8	2000	3180	100	1865.5	58.90	0.5	4.0
tune-mtp-d8	20000	35102	85	1944.6	52.47	0.5	20.5
tune-mtp-pp15	0	25	113	87.9	81.20	13.0	14.7
tune-mtp-pp15	2000	3180	100	2789.3	85.31	0.5	2.9
tune-mtp-pp15	20000	35102	116	3363.5	77.23	0.5	12.8
qwen3.6:35b-a3b-mtp-q4_K_M-agentic	0	25	126	89.1	124.88	12.3	13.6
qwen3.6:35b-a3b-mtp-q4_K_M-agentic	2000	3180	143	2827.0	129.04	0.5	2.9
qwen3.6:35b-a3b-mtp-q4_K_M-agentic	20000	35102	111	3368.9	112.47	0.5	12.3
qwen3.6:27b-q8_0-agentic	0	25	132	87.5	19.55	14.2	21.3
qwen3.6:27b-q8_0-agentic	2000	3180	97	1224.6	19.49	0.5	8.4
qwen3.6:27b-q8_0-agentic	20000	35102	160	1464.3	18.14	0.5	34.0
