model	prompt_words	prompt_tok	gen_tok	prefill_tps	gen_tps	load_s	total_s
laguna-xs-2.1:q4_K_M-ctx256k-agentic	0	55	125	220.8	115.50	10.6	12.0
laguna-xs-2.1:q4_K_M-ctx256k-agentic	2000	3120	113	3568.4	119.52	0.2	2.0
laguna-xs-2.1:q4_K_M-ctx256k-agentic	20000	34224	110	4882.1	93.51	0.2	8.8
north-mini-code-1.0:q4_K_M-ctx256k-agentic	0	39	256	161.5	89.81	11.5	14.6
north-mini-code-1.0:q4_K_M-ctx256k-agentic	2000	2594	256	2974.0	83.55	0.4	4.4
north-mini-code-1.0:q4_K_M-ctx256k-agentic	20000	27150	256	4330.9	78.17	0.5	10.7
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	0	26	256	98.7	71.65	14.4	18.2
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	2000	3091	239	3211.7	70.02	0.7	5.2
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	20000	34195	256	5740.5	65.44	0.7	11.3
qwen3.6:35b-a3b-q4_K_M-agentic	0	25	108	92.3	123.60	17.3	18.4
qwen3.6:35b-a3b-q4_K_M-agentic	2000	3180	95	2960.8	130.04	0.5	2.4
qwen3.6:35b-a3b-q4_K_M-agentic	20000	35102	78	3911.1	112.15	0.5	10.5
qwen3.6:27b-q4_K_M-ctx128k-agentic	0	25	176	79.0	31.20	11.6	17.6
qwen3.6:27b-q4_K_M-ctx128k-agentic	2000	3180	90	873.5	31.04	0.5	7.4
qwen3.6:27b-q4_K_M-ctx128k-agentic	20000	35102	108	1307.3	27.84	0.5	32.1
qwen3.6:35b-a3b-q4_K_M-agentic	0	25	108	84.4	121.48	11.7	12.9
qwen3.6:35b-a3b-q4_K_M-agentic	2000	3180	95	3010.6	130.04	0.0	1.9
qwen3.6:35b-a3b-q4_K_M-agentic	20000	35102	78	3995.7	112.14	0.0	9.8
north-mini-code-1.0:q4_K_M-ctx256k-agentic	0	39	144	150.6	132.81	10.1	11.5
north-mini-code-1.0:q4_K_M-ctx256k-agentic	2000	2594	256	3080.0	133.73	0.0	2.8
north-mini-code-1.0:q4_K_M-ctx256k-agentic	20000	27150	256	4501.6	113.27	0.0	9.2
qwen3.8:27b-q4_K_M-ctx128k-agentic	0	25	139	83.3	30.56	10.8	15.7
qwen3.8:27b-q4_K_M-ctx128k-agentic	2000	3180	147	1198.0	30.39	0.0	7.8
qwen3.8:27b-q4_K_M-ctx128k-agentic	20000	35102	94	1427.8	27.41	0.0	28.9
qwen3.8:27b-mtp-q4_K_M-ctx128k-agentic	0	25	143	71.4	36.85	13.2	17.4
qwen3.8:27b-mtp-q4_K_M-ctx128k-agentic	2000	3180	148	765.8	36.58	0.0	8.5
qwen3.8:27b-mtp-q4_K_M-ctx128k-agentic	20000	35102	146	767.0	35.01	0.0	50.9
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	0	26	256	89.7	108.16	31.0	33.6
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	2000	3091	256	3285.0	104.14	0.0	3.5
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	20000	34195	256	5774.3	92.59	0.0	9.5
nemotron-3.5-lightning:30b-ctx256k-agentic	0	29	131	87.2	129.81	17.1	18.4
nemotron-3.5-lightning:30b-ctx256k-agentic	2000	3457	114	2570.8	140.75	0.0	2.3
nemotron-3.5-lightning:30b-ctx256k-agentic	20000	37836	173	2796.6	144.89	0.0	15.0
nemotron-3.5-lightning:30b-ctx256k-agentic	0	29	131	91.3	127.15	16.3	17.7
nemotron-3.5-lightning:30b-ctx256k-agentic	2000	3457	114	2519.5	135.47	0.0	2.3
nemotron-3.5-lightning:30b-ctx256k-agentic	20000	37836	173	2797.6	144.90	0.0	15.0
north-mini-code-1.0:q4_K_M-ctx256k-agentic	0	39	144	151.1	134.86	9.8	11.2
north-mini-code-1.0:q4_K_M-ctx256k-agentic	2000	2594	256	3012.6	131.98	0.0	2.8
north-mini-code-1.0:q4_K_M-ctx256k-agentic	20000	27150	256	4384.2	112.81	0.0	9.1
qwen3.8:27b-q8_0-ctx64k-agentic	0	25	137	84.2	19.49	14.3	21.6
qwen3.8:27b-q8_0-ctx64k-agentic	2000	3180	153	1246.0	19.41	0.0	10.7
qwen3.8:27b-q8_0-ctx64k-agentic	20000	35102	138	1486.9	18.17	0.0	32.0
nemotron-cascade-2:30b-ctx256k-agentic	0	29	128	97.6	143.63	13.4	14.6
nemotron-cascade-2:30b-ctx256k-agentic	2000	3460	113	3671.9	150.37	0.0	1.8
nemotron-cascade-2:30b-ctx256k-agentic	20000	37839	136	6740.3	138.02	0.0	7.0
granite4.2:30b-ctx64k-agentic	0	29	99	210.2	30.06	9.9	13.4
granite4.2:30b-ctx64k-agentic	2000	2678	165	1492.9	28.84	0.0	7.6
granite4.2:30b-ctx64k-agentic	20000	28052	111	1476.2	21.88	0.0	24.8
gemma4:31b-it-q4_K_M-ctx128k-agentic	0	26	256	121.7	26.87	13.0	22.8
gemma4:31b-it-q4_K_M-ctx128k-agentic	2000	3091	226	916.1	25.39	0.0	12.5
gemma4:31b-it-q4_K_M-ctx128k-agentic	20000	34195	256	1378.1	22.79	0.0	39.4
nemotron-cascade-2:30b-ctx256k-agentic	0	29	128	106.4	145.15	12.0	13.2
nemotron-cascade-2:30b-ctx256k-agentic	2000	3460	113	3670.6	147.16	0.0	1.8
nemotron-cascade-2:30b-ctx256k-agentic	20000	37839	136	6671.7	139.21	0.0	7.1
ornith:35b-ctx256k-agentic	0	83	132	242.6	123.64	12.2	13.6
ornith:35b-ctx256k-agentic	2000	3238	111	2897.4	128.46	0.0	2.1
ornith:35b-ctx256k-agentic	20000	35160	127	3465.3	111.09	0.0	11.7
