model	phase	new_tok	cached_tok	total_tok	wall_s	implied_tps
tiel-coder:35b-q5-ctx256k-agentic	cold	30225	0	30225	23.60	1281
tiel-coder:35b-q5-ctx256k-agentic	repeat	4	30221	30225	0.52	58139
tiel-coder:35b-q5-ctx256k-agentic	extend	520	29713	30233	0.81	37146
tiel-coder:35b-q5-ctx256k-agentic	unique	30043	178	30221	8.26	3659
qwen3.6:35b-a3b-q4_K_M-agentic	cold	30046	0	30046	7.67	3918
qwen3.6:35b-a3b-q4_K_M-agentic	repeat	4	30042	30046	0.63	47654
qwen3.6:35b-a3b-q4_K_M-agentic	extend	1032	29022	30054	0.90	33327
qwen3.6:35b-a3b-q4_K_M-agentic	unique	30044	0	30044	8.15	3684
north-mini-code-1.0:q4_K_M-ctx256k-agentic	cold	27052	0	27052	5.48	4934
north-mini-code-1.0:q4_K_M-ctx256k-agentic	repeat	1	27051	27052	0.77	35046
north-mini-code-1.0:q4_K_M-ctx256k-agentic	extend	13	27046	27059	1.08	25136
north-mini-code-1.0:q4_K_M-ctx256k-agentic	unique	27048	0	27048	6.97	3883
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	cold	27044	0	27044	5.30	5099
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	repeat	1	27043	27044	0.86	31575
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	extend	17	27035	27052	1.08	24976
gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	unique	27045	0	27045	6.05	4471
ornith:35b-ctx256k-agentic	cold	30103	0	30103	7.89	3813
ornith:35b-ctx256k-agentic	repeat	4	30099	30103	0.55	54900
ornith:35b-ctx256k-agentic	extend	520	29591	30111	0.85	35460
ornith:35b-ctx256k-agentic	unique	30102	0	30102	8.50	3542
nemotron-3.5-lightning:30b-ctx256k-agentic	cold	27050	0	27050	8.61	3141
nemotron-3.5-lightning:30b-ctx256k-agentic	repeat	4	27046	27050	0.25	107107
nemotron-3.5-lightning:30b-ctx256k-agentic	extend	1031	26026	27057	0.71	38073
nemotron-3.5-lightning:30b-ctx256k-agentic	unique	27048	0	27048	8.55	3165
nemotron-cascade-2:30b-ctx256k-agentic	cold	27042	0	27042	4.04	6699
nemotron-cascade-2:30b-ctx256k-agentic	repeat	4	27038	27042	0.53	50721
nemotron-cascade-2:30b-ctx256k-agentic	extend	1032	26018	27050	0.86	31632
nemotron-cascade-2:30b-ctx256k-agentic	unique	27045	0	27045	4.01	6752
qwen3.8:27b-q4_K_M-ctx128k-agentic	cold	30047	0	30047	23.34	1287
qwen3.8:27b-q4_K_M-ctx128k-agentic	repeat	4	30043	30047	1.33	22510
qwen3.8:27b-q4_K_M-ctx128k-agentic	extend	520	29535	30055	2.42	12400
qwen3.8:27b-q4_K_M-ctx128k-agentic	unique	30041	0	30041	25.58	1175
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	cold	30044	178	30222	7.88	3833
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	repeat	4	30218	30222	0.63	47734
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	extend	520	29710	30230	0.93	32467
Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	unique	30045	178	30223	8.57	3525
cyber-tiel:35b-q5-ctx256k-agentic	cold	30043	179	30222	7.62	3967
cyber-tiel:35b-q5-ctx256k-agentic	repeat	4	30218	30222	0.52	58031
