date	ollama	model	fixture	thinking	run	verdict	hidden	wall_s	warm_s	calls	turns	in_tok	out_tok	think_chars	api_s	ttft_s	max_gap_s	tools	reloads	foreign	note
2026-09-25	0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	hard	on	1	PASS	18/18	49	32.0	7	17	31526	3606	2736	47.2	7.9	8.1	Bashx6,Readx5,Editx5	0	-	
2026-09-25	0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	hard	on	2	PASS	18/18	37	2.5	5	14	27568	2688	1448	36.2	7.6	7.5	Bashx5,Readx5,Writex3	0	-	
2026-09-25	0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	hard	on	3	PASS	17/18	58	1.4	5	14	25677	5024	8105	57.7	7.9	21.8	Bashx5,Readx5,Editx3	0	-	
2026-09-25	0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	hard	on	4	PASS	18/18	45	1.4	5	14	26067	3626	3335	44.8	8.2	9.5	Readx6,Bashx4,Editx3	0	-	
2026-09-25	0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	hard	on	5	PASS	17/18	39	2.4	5	14	27746	2781	1597	37.4	8.2	8.1	Readx6,Bashx4,Writex3	0	-	
2026-09-25	0.33.3	tiel-coder:35b-q5-ctx256k-agentic	hard	on	1	PASS	18/18	51	33.2	10	14	27503	3545	4510	49.6	7.2	7.1	Bashx5,Readx5,Writex2,Editx1	0	-	
2026-09-25	0.33.3	tiel-coder:35b-q5-ctx256k-agentic	hard	on	2	PASS	18/18	79	1.3	13	17	27741	6089	12677	76.9	7.5	16.1	Bashx5,Readx5,Editx5,Writex1	0	-	
2026-09-25	0.33.3	tiel-coder:35b-q5-ctx256k-agentic	hard	on	3	PASS	18/18	92	1.4	9	13	27414	7581	17505	89.6	7.5	43.1	Readx5,Bashx4,Writex2,Editx1	0	-	
2026-09-25	0.33.3	tiel-coder:35b-q5-ctx256k-agentic	hard	on	4	PASS	18/18	126	1.3	12	16	30329	10657	22958	124.1	7.5	61.3	Bashx7,Readx5,Editx2,Writex1	0	-	
2026-09-25	0.33.3	tiel-coder:35b-q5-ctx256k-agentic	hard	on	5	PASS	18/18	55	1.3	7	13	26129	4143	7293	53.6	7.6	12.7	Readx6,Bashx3,Writex3	0	-	
2026-09-25	0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	hard	on	1	PASS	18/18	90	24.0	18	18	28770	6667	9429	88.6	5.1	10.1	Editx7,Bashx4,Readx4,Writex2	0	-	
2026-09-25	0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	hard	on	2	PASS	18/18	100	2.5	14	14	28582	7734	13099	97.5	4.5	20.8	Editx5,Bashx4,Readx4	0	-	
2026-09-25	0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	hard	on	3	PASS	18/18	92	2.8	14	14	28191	7063	13936	90.2	4.9	22.9	Editx5,Bashx4,Readx4	0	-	
2026-09-25	0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	hard	on	4	PASS	18/18	75	2.2	17	17	33589	5131	6675	72.9	4.5	11.9	Editx6,Bashx5,Readx5	0	-	
2026-09-25	0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	hard	on	5	PASS	18/18	69	2.7	15	15	30599	4811	8658	66.8	4.9	11.8	Editx6,Bashx5,Readx3	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	hard	on	1	PASS	18/18	48	22.1	13	18	29783	3730	1760	45.4	6.7	6.6	Readx6,Editx6,Bashx5	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	hard	on	2	PASS	18/18	46	2.5	12	17	31333	3637	1752	44.7	6.8	6.7	Readx6,Bashx5,Editx5	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	hard	on	3	PASS	18/18	49	2.5	12	18	29748	4054	2569	48.0	6.8	6.7	Readx6,Editx6,Bashx5	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	hard	on	4	PASS	17/18	48	2.5	12	18	31674	3733	1536	45.9	6.7	6.6	Readx7,Bashx5,Editx5	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	hard	on	5	PASS	17/18	48	2.6	8	19	31979	3898	2183	46.1	6.1	6.0	Editx7,Bashx6,Readx5	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic-t06	hard	on	1	PASS	18/18	41	18.7	8	16	30619	3212	2328	39.4	6.4	6.3	Readx6,Bashx5,Writex3,Editx1	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic-t06	hard	on	2	PASS	16/18	46	2.4	8	17	32105	3800	2575	45.2	7.0	6.9	Editx6,Bashx5,Readx5	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic-t06	hard	on	3	PASS	17/18	43	2.2	10	16	27839	3514	1871	41.8	6.2	6.1	Readx6,Editx5,Bashx4	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic-t06	hard	on	4	PASS	16/18	40	2.3	9	16	30720	3116	1729	39.1	6.9	6.8	Bashx5,Readx5,Writex3,Editx2	0	-	
2026-09-25	0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic-t06	hard	on	5	PASS	17/18	47	2.3	8	16	33263	3724	3165	45.3	6.2	6.1	Bashx5,Readx5,Editx5	0	-	
2026-09-25	0.33.3	byteshape-qwen3.6-35b:q4ks-ctx256k-agentic	hard	on	1	PASS	18/18	44	14.3	7	14	27658	3865	2596	43.3	6.5	6.5	Readx5,Bashx4,Writex4	0	-	
2026-09-25	0.33.3	byteshape-qwen3.6-35b:q4ks-ctx256k-agentic	hard	on	2	PASS	17/18	39	2.5	6	13	27549	3267	3116	38.0	6.7	6.6	Readx5,Bashx4,Writex3	0	-	
2026-09-25	0.33.3	byteshape-qwen3.6-35b:q4ks-ctx256k-agentic	hard	on	3	PASS	17/18	33	2.9	6	12	27573	2627	1161	32.3	6.8	6.7	Bashx4,Readx4,Writex3	0	-	
2026-09-25	0.33.3	byteshape-qwen3.6-35b:q4ks-ctx256k-agentic	hard	on	4	PASS	18/18	46	2.4	11	18	28780	3698	3398	43.8	6.7	6.6	Bashx6,Readx6,Writex3,Editx2	0	-	
2026-09-25	0.33.3	byteshape-qwen3.6-35b:q4ks-ctx256k-agentic	hard	on	5	PASS	17/18	41	2.3	8	16	29383	3374	2663	40.3	6.5	6.5	Bashx6,Readx5,Writex3,Editx1	0	-	
