ollama	model	prompt_words	prompt_tok	gen_tok	prefill_tps	gen_tps	load_s	total_s
0.33.3	Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	0	203	182	428.6	72.58	14.5	17.5
0.33.3	Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	2000	3358	243	2805.1	73.16	0.0	4.7
0.33.3	Tiel-Coder-35B-A3B-GGUF-Q5_K_XL-ctx262k:latest	20000	35280	254	3547.7	69.41	0.0	14.0
0.33.3	tiel-coder:35b-q5-ctx256k-agentic	0	203	186	418.6	107.08	16.1	18.3
0.33.3	tiel-coder:35b-q5-ctx256k-agentic	2000	3358	201	2772.4	111.13	0.0	3.2
0.33.3	tiel-coder:35b-q5-ctx256k-agentic	20000	35280	232	3483.4	97.64	0.0	12.9
0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	0	25	98	82.1	123.61	15.3	16.4
0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	2000	3180	95	3030.9	131.60	0.0	1.9
0.33.3	qwen3.6:35b-a3b-q4_K_M-agentic	20000	35102	107	4046.1	113.13	0.0	10.0
0.33.3	north-mini-code-1.0:q4_K_M-ctx256k-agentic	0	39	118	160.9	136.82	9.9	11.0
0.33.3	north-mini-code-1.0:q4_K_M-ctx256k-agentic	2000	2594	256	3078.7	136.25	0.0	2.8
0.33.3	north-mini-code-1.0:q4_K_M-ctx256k-agentic	20000	27150	256	4592.1	114.70	0.0	8.8
0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	0	26	256	1.3	116.69	31.7	53.2
0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	2000	3091	256	3400.3	109.23	0.0	3.3
0.33.3	gemma4:26b-a4b-it-q4_K_M-ctx256k-agentic	20000	34195	256	6125.8	97.00	0.0	9.0
0.33.3	ornith:35b-ctx256k-agentic	0	83	132	224.5	123.65	21.1	22.6
0.33.3	ornith:35b-ctx256k-agentic	2000	3238	111	2867.9	127.34	0.0	2.1
0.33.3	ornith:35b-ctx256k-agentic	20000	35160	152	3555.0	111.42	0.0	11.6
0.33.3	nemotron-3.5-lightning:30b-ctx256k-agentic	0	29	120	77.3	117.84	34.4	35.8
0.33.3	nemotron-3.5-lightning:30b-ctx256k-agentic	2000	3457	111	2294.1	126.62	35.8	38.2
0.33.3	nemotron-3.5-lightning:30b-ctx256k-agentic	20000	37836	155	2674.3	121.16	46.5	62.1
0.33.3	nemotron-cascade-2:30b-ctx256k-agentic	0	29	133	84.3	140.65	28.8	30.1
0.33.3	nemotron-cascade-2:30b-ctx256k-agentic	2000	3460	130	3572.0	140.73	0.0	2.0
0.33.3	nemotron-cascade-2:30b-ctx256k-agentic	20000	37839	123	7016.9	141.41	0.0	6.6
0.33.3	qwen3.8:27b-q4_K_M-ctx128k-agentic	0	25	143	75.4	30.51	21.8	26.8
0.33.3	qwen3.8:27b-q4_K_M-ctx128k-agentic	2000	3180	155	1173.2	30.34	0.0	8.1
0.33.3	qwen3.8:27b-q4_K_M-ctx128k-agentic	20000	35102	94	1456.7	27.43	0.0	28.2
0.33.3	cyber-tiel:35b-q5-ctx256k-agentic	0	204	157	430.1	107.52	13.9	15.9
0.33.3	cyber-tiel:35b-q5-ctx256k-agentic	2000	3359	136	2786.0	110.01	0.0	2.6
0.33.3	cyber-tiel:35b-q5-ctx256k-agentic	20000	35281	223	3518.6	97.65	0.0	12.7
0.33.3	occamy-1.0:q5km-ctx256k-agentic	0	25	129	115.7	119.88	0.0	1.4
0.33.3	occamy-1.0:q5km-ctx256k-agentic	2000	3180	147	2846.8	124.97	0.0	2.4
0.33.3	occamy-1.0:q5km-ctx256k-agentic	20000	35102	115	3532.0	108.83	0.0	11.3
0.33.3	occamy-1.0:q5km-ctx256k-agentic	0	25	129	118.2	119.26	0.0	1.4
0.33.3	occamy-1.0:q5km-ctx256k-agentic	2000	3180	147	2827.8	124.13	0.0	2.5
0.33.3	occamy-1.0:q5km-ctx256k-agentic	20000	35102	115	3446.4	107.57	0.0	11.6
0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	0	25	117	100.5	113.54	0.0	1.4
0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	2000	3180	130	2901.0	117.86	0.0	2.3
0.33.3	kat-coder-v2.5:q5km-ctx256k-agentic	20000	35102	74	3606.5	101.99	0.0	10.9
0.33.3	ornith-1.5-35b:q5km-ctx256k-agentic	0	25	256	118.4	118.94	0.0	2.5
0.33.3	ornith-1.5-35b:q5km-ctx256k-agentic	2000	3180	199	2828.0	123.68	0.0	2.9
0.33.3	ornith-1.5-35b:q5km-ctx256k-agentic	20000	35102	256	3510.7	107.26	0.0	12.8
