month,tool,calls,sessions,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd,fresh_tokens,cache_tokens,total_tokens
2026-01,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-01,Codex,0,0,0,0,0,0,0.0,0,0,0
2026-02,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-02,Codex,0,0,0,0,0,0,0.0,0,0,0
2026-03,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-03,Codex,0,0,0,0,0,0,0.0,0,0,0
2026-04,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-04,Codex,3850,44,20616260,1889019,362593792,0,244.9797953,22505279,362593792,385099071
2026-05,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-05,Codex,3224,46,19182025,1353945,349762048,0,311.409499,20535970,349762048,370298018
2026-06,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-06,Codex,5826,66,34204767,2742038,652033536,0,579.301743,36946805,652033536,688980341
2026-07,Claude,280,25,38837,208332,33744027,1205664,30.8256696,247169,34949691,35196860
2026-07,Codex,3132,74,12161731,1491027,306686336,0,245.98292525,13652758,306686336,320339094
2026-08,Claude,14235,270,461366925,8825003,2178252342,36670625,2745.4428839,470191928,2214922967,2685114895
2026-08,Codex,5960,44,18686561,3058061,709643392,0,539.86296175,21744622,709643392,731388014
2026-09,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-09,Codex,0,0,0,0,0,0,0.0,0,0,0
2026-10,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-10,Codex,0,0,0,0,0,0,0.0,0,0,0
2026-11,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-11,Codex,0,0,0,0,0,0,0.0,0,0,0
2026-12,Claude,0,0,0,0,0,0,0.0,0,0,0
2026-12,Codex,0,0,0,0,0,0,0.0,0,0,0
